rank,score,image,description,target_probability,reference_probability,probability_margin,best_target_prompt,best_reference_prompt,best_overall_prompt,width,height,extension,size_bytes,references,context_keyword_hits
8522,-0.9244076213799417,assets/images/2025/20240925_20250706/20250704_195636_0.jpg,a screenshot of a website,0.0017778773326426744,0.927963376045227,-0.9261854987125844,a market share pie chart,a screenshot of a website,a screenshot of a website,1173,1200,.jpg,181674,_posts/2025-07-06-weekly-OFS-54.md:223,
8523,-0.9244948532432318,assets/images/2026/20240131_20260208/20260202_033151_1.jpg,a screenshot of a website,0.00955114234238863,0.943597137928009,-0.9340459955856204,a donut chart,a screenshot of a website,a screenshot of a website,900,1200,.jpg,209703,_posts/2026-02-08-weekly-OFS-85.md:202,
8524,-0.9251396586187184,assets/images/2026/20240730_20260330/20260127_182903_0.jpg,a screenshot of a website,0.003848705207929015,0.9328370690345764,-0.9289883638266474,a pie chart,a screenshot of a website,a screenshot of a website,1199,477,.jpg,14021,_posts/2026-03-30-weekly-OFS-92.md:113,
8525,-0.9252075579752272,assets/images/2025/20240925_20250706/20250702_005350_0.jpg,a microscope image,2.78936331596924e-05,0.9252633452415466,-0.9252354516083869,a doughnut chart,a microscope image,a microscope image,1199,670,.jpg,83483,_posts/2025-07-06-weekly-OFS-54.md:112,
8526,-0.9261238111648709,assets/images/2025/20241024_20251229/20251228_022239_0.jpg,a microscope image,0.0017537408275529742,0.9296312928199768,-0.9278775519924238,a doughnut chart,a microscope image,a microscope image,1200,460,.jpg,86540,_posts/2025-12-29-weekly-OFS-79.md:288,
8527,-0.9276708714023698,assets/images/2025/20250115_20251102/20251031_030412_0.jpg,a microscope image,0.00014035146159585565,0.9279515743255615,-0.9278112228639657,a doughnut chart,a microscope image,a microscope image,1200,454,.jpg,125947,_posts/2025-11-02-weekly-OFS-71.md:167,
8528,-0.9276868563465541,assets/images/2025/20241218_20260104/20251230_001117_0.jpg,a microscope image,6.476732232840732e-05,0.9278163909912109,-0.9277516236688825,a doughnut chart,a microscope image,a microscope image,1199,655,.jpg,130785,_posts/2026-01-08-weekly-OFS-80.md:79,
8529,-0.9284225438386784,assets/images/West-Bond-7476E.jpg,a microscope image,3.109701719949953e-05,0.9284847378730774,-0.9284536408558779,a circular percentage chart,a microscope image,a microscope image,700,525,.jpg,44192,_posts/2024-07-19-how-to-wirebond.md:24,
8530,-0.9292591424309649,assets/images/imported/lnnb17-fab-si-hardmask-pattern-test-180820/image9.png,a microscope image,0.0002536668616812676,0.9297664761543274,-0.9295128092926461,a doughnut chart,a microscope image,a microscope image,1024,943,.png,959796,_posts/2018-08-20-lnnb17-fab-si-hardmask-pattern-test-180820.md:141,
8531,-0.9292861435969826,assets/images/2025/20240304_20251019/20251016_055120_3.jpg,a microscope image,4.4305415940470994e-05,0.9293747544288635,-0.929330449012923,a doughnut chart,a microscope image,a microscope image,1200,900,.jpg,147285,_posts/2025-10-20-weekly-OFS-69.md:53,
8532,-0.9301636177024193,assets/images/2025/20241027_20250720/20250718_024958_0.jpg,a ring resonator diagram,1.3204528841015417e-05,0.9301900267601013,-0.9301768222312603,a doughnut chart,a ring resonator diagram,a ring resonator diagram,1199,480,.jpg,61872,_posts/2025-07-21-weekly-OFS-56.md:56,
8533,-0.9304417700041085,assets/images/2025/20240918_20251214/20250712_153955_2.jpg,a ring resonator diagram,0.00046311167534440756,0.9313679933547974,-0.930904881679453,a composition breakdown pie chart,a ring resonator diagram,a ring resonator diagram,1200,1049,.jpg,94189,_posts/2025-12-15-weekly-OFS-77.md:210,
8534,-0.9304417700041085,assets/images/2025/20250419_20250713/20250712_153955_1.jpg,a ring resonator diagram,0.00046311167534440756,0.9313679933547974,-0.930904881679453,a composition breakdown pie chart,a ring resonator diagram,a ring resonator diagram,1200,1049,.jpg,94189,_posts/2025-07-13-weekly-OFS-55.md:267,
8535,-0.9305423931218684,assets/images/2025/20250108_20250318/20250315_161057_2.jpg,a screenshot of a website,0.0014303706120699644,0.9334031343460083,-0.9319727637339383,a composition breakdown pie chart,a screenshot of a website,a screenshot of a website,1199,942,.jpg,145666,_posts/2025-03-17-weekly-OFS-38.md:530,
8536,-0.9306194104719907,assets/images/2024/20241111_20241122/20241120_162533_2.jpg,a microscope image,0.00024238636251538992,0.9311041831970215,-0.9308617968345061,a doughnut chart,a microscope image,a microscope image,1200,910,.jpg,199171,_posts/2024-11-24-weekly-OFS-22.md:146,
8537,-0.9309205610770732,assets/images/2025/20250105_20250615/20250530_075029_0.jpg,a screenshot of a website,0.0015303095569834113,0.93398118019104,-0.9324508706340566,a circular percentage chart,a screenshot of a website,a screenshot of a website,1200,876,.jpg,140674,_posts/2025-06-15-weekly-OFS-51.md:277,
8538,-0.9310362243559211,assets/images/2024/20240702_20241207/20240702_172624_1.jpg,a screenshot of a website,0.0013999092625454068,0.933836042881012,-0.9324361336184666,a composition breakdown pie chart,a screenshot of a website,a screenshot of a website,1200,448,.jpg,75957,_posts/2024-12-15-weekly-OFS-25.md:40,
